title,description,category,priority,status,estimated_hours,dependency_count,issue_count,hours_since_update,hours_until_due,risk_level
Work Item 1,Operational work item for support,Support,MEDIUM,OPEN,30.59,4,6,87.84,144.48,HIGH
Work Item 2,Operational work item for inspection,Inspection,LOW,OPEN,13.33,2,6,6.97,208.15,LOW
Work Item 3,Operational work item for inspection,Inspection,MEDIUM,DONE,48.49,2,5,6.77,173.84,LOW
Work Item 4,Operational work item for inspection,Inspection,MEDIUM,OPEN,75.15,1,7,119.07,148.96,HIGH
Work Item 5,Operational work item for inspection,Inspection,LOW,IN_PROGRESS,49.32,4,3,2.77,126.9,LOW
Work Item 6,Operational work item for operations,Operations,MEDIUM,BLOCKED,32.59,3,3,43.96,110.54,MEDIUM
Work Item 7,Operational work item for support,Support,MEDIUM,IN_PROGRESS,63.03,2,3,61.71,142.99,MEDIUM
Work Item 8,Operational work item for maintenance,Maintenance,HIGH,OPEN,4.67,2,6,20.46,17.48,HIGH
Work Item 9,Operational work item for maintenance,Maintenance,MEDIUM,IN_PROGRESS,75.96,3,5,97.01,74.5,HIGH
Work Item 10,Operational work item for inspection,Inspection,LOW,BLOCKED,8.72,3,3,52.82,31.05,HIGH
Work Item 11,Operational work item for support,Support,LOW,OPEN,40.12,2,5,46.93,45.37,MEDIUM
Work Item 12,Operational work item for development,Development,MEDIUM,DONE,60.67,5,5,24.95,137.11,HIGH
Work Item 13,Operational work item for development,Development,MEDIUM,DONE,3.47,1,1,53.97,96.05,LOW
Work Item 14,Operational work item for operations,Operations,LOW,OPEN,74.21,5,6,62.5,230.76,HIGH
Work Item 15,Operational work item for maintenance,Maintenance,HIGH,IN_PROGRESS,67.72,4,1,64.76,141.65,HIGH
Work Item 16,Operational work item for maintenance,Maintenance,MEDIUM,OPEN,77.26,3,3,33.12,72.51,MEDIUM
Work Item 17,Operational work item for maintenance,Maintenance,MEDIUM,DONE,14.06,0,6,50.81,95.98,LOW
Work Item 18,Operational work item for development,Development,HIGH,IN_PROGRESS,24.19,2,2,84.82,175.5,MEDIUM
Work Item 19,Operational work item for support,Support,MEDIUM,IN_PROGRESS,61.93,4,1,43.02,29.58,HIGH
Work Item 20,Operational work item for inspection,Inspection,MEDIUM,IN_PROGRESS,69.19,3,1,11.45,90.25,LOW
Work Item 21,Operational work item for maintenance,Maintenance,MEDIUM,OPEN,53.84,4,2,70.96,67.38,MEDIUM
Work Item 22,Operational work item for operations,Operations,LOW,IN_PROGRESS,45.34,2,4,116.61,204.04,MEDIUM
Work Item 23,Operational work item for inspection,Inspection,LOW,IN_PROGRESS,58.02,5,6,4.85,171.14,MEDIUM
Work Item 24,Operational work item for support,Support,LOW,OPEN,9.76,3,4,24.21,215.19,LOW
Work Item 25,Operational work item for operations,Operations,MEDIUM,OPEN,38.55,4,7,83.46,35.16,HIGH
Work Item 26,Operational work item for development,Development,HIGH,IN_PROGRESS,48.75,2,4,27.46,20.32,HIGH
Work Item 27,Operational work item for development,Development,MEDIUM,DONE,23.89,5,3,111.56,194.33,MEDIUM
Work Item 28,Operational work item for operations,Operations,LOW,OPEN,51.04,5,3,96.44,46.4,HIGH
Work Item 29,Operational work item for development,Development,MEDIUM,BLOCKED,71.51,2,7,96.89,215.27,HIGH
Work Item 30,Operational work item for maintenance,Maintenance,HIGH,IN_PROGRESS,26.12,0,0,27.35,103.65,LOW
Work Item 31,Operational work item for development,Development,HIGH,OPEN,65.62,0,2,0.83,123.56,LOW
Work Item 32,Operational work item for inspection,Inspection,LOW,OPEN,33.98,4,0,14.38,82.35,LOW
Work Item 33,Operational work item for development,Development,LOW,OPEN,75.49,5,7,62.25,169.32,HIGH
Work Item 34,Operational work item for operations,Operations,MEDIUM,IN_PROGRESS,29.73,0,1,115.49,61.92,LOW
Work Item 35,Operational work item for operations,Operations,HIGH,IN_PROGRESS,40.28,0,4,34.18,10.78,HIGH
Work Item 36,Operational work item for inspection,Inspection,HIGH,OPEN,49.16,1,3,6.18,68.32,MEDIUM
Work Item 37,Operational work item for support,Support,MEDIUM,IN_PROGRESS,72.75,2,5,17.39,118.49,MEDIUM
Work Item 38,Operational work item for support,Support,MEDIUM,IN_PROGRESS,78.87,3,6,91.39,58.56,HIGH
Work Item 39,Operational work item for support,Support,MEDIUM,IN_PROGRESS,58.53,4,3,118.01,96.92,HIGH
Work Item 40,Operational work item for operations,Operations,HIGH,BLOCKED,65.5,0,0,38.49,46.39,HIGH
Work Item 41,Operational work item for support,Support,HIGH,DONE,4.22,3,3,81.31,5.95,HIGH
Work Item 42,Operational work item for maintenance,Maintenance,HIGH,IN_PROGRESS,41.46,2,3,77.42,43.5,HIGH
Work Item 43,Operational work item for operations,Operations,LOW,BLOCKED,55.58,1,7,16.5,83.17,HIGH
Work Item 44,Operational work item for inspection,Inspection,HIGH,DONE,9.96,5,1,30.95,159.08,LOW
Work Item 45,Operational work item for inspection,Inspection,MEDIUM,IN_PROGRESS,65.56,0,3,63.56,59.56,MEDIUM
Work Item 46,Operational work item for support,Support,HIGH,DONE,8.36,3,4,108.05,152.68,HIGH
Work Item 47,Operational work item for operations,Operations,LOW,OPEN,27.78,2,2,87.11,215.51,LOW
Work Item 48,Operational work item for development,Development,HIGH,OPEN,71.08,0,7,102.11,224.68,HIGH
Work Item 49,Operational work item for operations,Operations,HIGH,DONE,63.04,3,5,1.1,26.15,HIGH
Work Item 50,Operational work item for development,Development,MEDIUM,OPEN,53.42,4,1,19.3,132.6,LOW
Work Item 51,Operational work item for operations,Operations,HIGH,OPEN,55.66,4,0,21.11,6.3,HIGH
Work Item 52,Operational work item for maintenance,Maintenance,HIGH,IN_PROGRESS,40.02,3,7,77.96,204.12,HIGH
Work Item 53,Operational work item for maintenance,Maintenance,HIGH,BLOCKED,52.95,0,7,11.24,89.52,HIGH
Work Item 54,Operational work item for support,Support,MEDIUM,IN_PROGRESS,21.95,5,5,116.76,95.56,HIGH
Work Item 55,Operational work item for inspection,Inspection,MEDIUM,IN_PROGRESS,71.47,2,2,95.38,121.63,MEDIUM
Work Item 56,Operational work item for inspection,Inspection,LOW,OPEN,46.58,0,4,27.62,120.81,LOW
Work Item 57,Operational work item for maintenance,Maintenance,MEDIUM,OPEN,46.19,0,7,21.25,225.83,MEDIUM
Work Item 58,Operational work item for inspection,Inspection,LOW,BLOCKED,76.36,4,5,44.42,5.68,HIGH
